Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19900702   ,0.78   ,0.71   ,0.55   ,0.94   ,0.70   ,0.55
19900703   ,0.41   ,0.28   ,0.13   ,0.19   ,0.25   ,0.13
19900704   ,0.64   ,0.46   ,0.36   ,0.65   ,0.74   ,0.60
19900705  ,-0.55  ,-0.41  ,-0.38  ,-0.77  ,-0.88  ,-0.60
19900706   ,0.07   ,0.02   ,0.01   ,0.17   ,0.20   ,0.29
19900709   ,0.44   ,0.46   ,0.33   ,0.22   ,0.16   ,0.35
19900710   ,0.56   ,0.20   ,0.17   ,0.22   ,0.11   ,0.07
19900711  ,-0.04  ,-0.12  ,-0.13   ,0.63   ,0.38   ,0.10
19900712   ,0.48   ,0.47   ,0.38   ,0.71   ,0.57   ,0.53
19900713   ,0.49   ,0.27   ,0.18   ,0.82   ,0.89   ,0.83
19900716   ,0.33   ,0.26   ,0.25   ,0.60   ,0.59   ,0.73
19900717   ,0.13   ,0.22   ,0.24  ,-0.03   ,0.12   ,0.07
19900718   ,0.05  ,-0.12  ,-0.15  ,-0.24  ,-0.15  ,-0.06
19900719  ,-0.16  ,-0.13  ,-0.29  ,-0.18  ,-0.15  ,-0.51
19900720  ,-0.25  ,-0.03  ,-0.20  ,-1.12  ,-0.83  ,-0.68
19900723  ,-0.95  ,-0.79  ,-0.66  ,-1.26  ,-0.92  ,-0.75
19900724  ,-0.24  ,-0.23  ,-0.30  ,-0.46  ,-0.44  ,-0.60
19900725   ,0.16   ,0.19   ,0.23   ,0.00   ,0.01   ,0.26
19900726  ,-0.13  ,-0.12  ,-0.04  ,-0.78  ,-0.73  ,-0.63
19900727  ,-0.27  ,-0.02  ,-0.03  ,-1.18  ,-0.53  ,-0.48
19900730  ,-0.24  ,-0.14  ,-0.19   ,0.08   ,0.10   ,0.09
19900731   ,0.91   ,0.77   ,0.74   ,1.47   ,1.59   ,1.28
19900801  ,-0.29  ,-0.29  ,-0.41  ,-0.42  ,-0.49  ,-0.59
19900802  ,-1.45  ,-1.18  ,-1.28  ,-1.97  ,-1.66  ,-1.89
19900803  ,-1.45  ,-1.49  ,-1.28  ,-1.68  ,-1.66  ,-1.79
19900806  ,-2.77  ,-2.45  ,-2.56  ,-3.34  ,-3.11  ,-3.34
19900807  ,-1.22  ,-0.95  ,-0.71  ,-0.45  ,-0.64  ,-0.93
19900808   ,0.05   ,0.03   ,0.18   ,1.07   ,0.57   ,0.60
19900809   ,0.58   ,0.19   ,0.03  ,-0.02  ,-0.20  ,-0.27
19900810  ,-0.54  ,-0.42  ,-0.28  ,-0.89  ,-0.64  ,-0.49
19900813  ,-0.98  ,-0.80  ,-0.62  ,-0.76  ,-1.25  ,-1.44
19900814   ,0.47   ,0.33   ,0.25   ,1.03   ,0.84   ,1.08
19900815   ,1.20   ,0.75   ,0.95   ,2.14   ,2.27   ,2.49
19900816  ,-0.72  ,-0.60  ,-0.47  ,-1.72  ,-1.41  ,-1.32
19900817  ,-1.19  ,-1.10  ,-0.92  ,-1.37  ,-1.27  ,-1.45
